Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B1 - AFFNI55,Mussels,2021-01-10,No harmful species observed,40,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-02-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-02-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-03-08,No harmful species observed,220,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-03-22,No harmful species observed,160,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-04-19,No harmful species observed,80,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-05-10,No harmful species observed,320,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-05-24,No harmful species observed,200,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-06-01,No harmful species observed,420,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-06-14,20,1140,No harmful species observed,Open,
Belfast,B1 - AFFNI55,Mussels,2021-06-28,No harmful species observed,1200,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-01-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-02-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-02-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-03-08,No harmful species observed,140,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-03-22,No harmful species observed,120,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-04-19,No harmful species observed,220,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-05-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-05-24,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-06-14,No harmful species observed,640,No harmful species observed,Open,
Belfast,B3 - AFFNI50,Mussels,2021-06-28,No harmful species observed,940,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-01-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-02-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-02-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-03-22,No harmful species observed,140,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-04-19,No harmful species observed,160,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-05-10,No harmful species observed,500,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-05-24,No harmful species observed,60,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-06-01,No harmful species observed,300,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-06-14,No harmful species observed,1800,No harmful species observed,Open,
Belfast,B12 - AFFNI54,Mussels,2021-06-28,No harmful species observed,2280,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-01-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-02-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-02-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-03-08,No harmful species observed,460,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-03-22,No harmful species observed,160,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-04-19,20,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-05-10,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-05-24,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-06-01,No harmful species observed,60,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-06-14,20,1500,No harmful species observed,Open,
Belfast,B20 - AFFNI53,Mussels,2021-06-28,No harmful species observed,16600,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2020-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-03-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-04-19,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-05-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-05-17,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C1 - AFFNI27,Mussels,2021-06-28,No harmful species observed,320,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-01-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-01-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-02-09,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-02-23,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-03-08,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-03-22,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Carlingford,C7 - AFFNI73,Oysters,2021-04-07,No harmful species observed,No harmful species observed,No harmful species observed,Open,
